sensor,missing_count,missing_ratio,non_missing_count
sensor_157,1429,0.9119336311423102,138
sensor_292,1429,0.9119336311423102,138
sensor_293,1429,0.9119336311423102,138
sensor_158,1429,0.9119336311423102,138
sensor_492,1341,0.8557753669432036,226
sensor_358,1341,0.8557753669432036,226
sensor_085,1341,0.8557753669432036,226
sensor_220,1341,0.8557753669432036,226
sensor_246,1018,0.6496490108487556,549
sensor_109,1018,0.6496490108487556,549
sensor_110,1018,0.6496490108487556,549
sensor_111,1018,0.6496490108487556,549
sensor_518,1018,0.6496490108487556,549
sensor_516,1018,0.6496490108487556,549
sensor_245,1018,0.6496490108487556,549
sensor_244,1018,0.6496490108487556,549
sensor_382,1018,0.6496490108487556,549
sensor_383,1018,0.6496490108487556,549
sensor_384,1018,0.6496490108487556,549
sensor_517,1018,0.6496490108487556,549
sensor_578,949,0.6056158264199106,618
sensor_579,949,0.6056158264199106,618
sensor_580,949,0.6056158264199106,618
sensor_581,949,0.6056158264199106,618
sensor_346,794,0.5067007019783025,773
sensor_073,794,0.5067007019783025,773
sensor_072,794,0.5067007019783025,773
sensor_345,794,0.5067007019783025,773
sensor_112,715,0.4562858966177409,852
sensor_247,715,0.4562858966177409,852
sensor_385,715,0.4562858966177409,852
sensor_519,715,0.4562858966177409,852
sensor_562,273,0.1742182514358647,1294
sensor_563,273,0.1742182514358647,1294
sensor_564,273,0.1742182514358647,1294
sensor_565,273,0.1742182514358647,1294
sensor_566,273,0.1742182514358647,1294
sensor_567,273,0.1742182514358647,1294
sensor_569,273,0.1742182514358647,1294
sensor_568,273,0.1742182514358647,1294
sensor_555,260,0.16592214422463306,1307
sensor_546,260,0.16592214422463306,1307
sensor_548,260,0.16592214422463306,1307
sensor_549,260,0.16592214422463306,1307
sensor_550,260,0.16592214422463306,1307
sensor_551,260,0.16592214422463306,1307
sensor_552,260,0.16592214422463306,1307
sensor_553,260,0.16592214422463306,1307
sensor_554,260,0.16592214422463306,1307
sensor_547,260,0.16592214422463306,1307
sensor_556,260,0.16592214422463306,1307
sensor_557,260,0.16592214422463306,1307
sensor_497,51,0.03254626675175495,1516
sensor_362,51,0.03254626675175495,1516
sensor_496,51,0.03254626675175495,1516
sensor_225,51,0.03254626675175495,1516
sensor_089,51,0.03254626675175495,1516
sensor_090,51,0.03254626675175495,1516
sensor_363,51,0.03254626675175495,1516
sensor_224,51,0.03254626675175495,1516
sensor_211,24,0.015315890236119975,1543
sensor_485,24,0.015315890236119975,1543
sensor_178,24,0.015315890236119975,1543
sensor_355,24,0.015315890236119975,1543
sensor_354,24,0.015315890236119975,1543
sensor_353,24,0.015315890236119975,1543
sensor_352,24,0.015315890236119975,1543
sensor_350,24,0.015315890236119975,1543
sensor_349,24,0.015315890236119975,1543
sensor_525,24,0.015315890236119975,1543
sensor_483,24,0.015315890236119975,1543
sensor_348,24,0.015315890236119975,1543
sensor_212,24,0.015315890236119975,1543
sensor_484,24,0.015315890236119975,1543
sensor_486,24,0.015315890236119975,1543
sensor_450,24,0.015315890236119975,1543
sensor_487,24,0.015315890236119975,1543
sensor_488,24,0.015315890236119975,1543
sensor_489,24,0.015315890236119975,1543
sensor_041,24,0.015315890236119975,1543
sensor_040,24,0.015315890236119975,1543
sensor_118,24,0.015315890236119975,1543
sensor_313,24,0.015315890236119975,1543
sensor_314,24,0.015315890236119975,1543
sensor_214,24,0.015315890236119975,1543
sensor_215,24,0.015315890236119975,1543
sensor_216,24,0.015315890236119975,1543
sensor_217,24,0.015315890236119975,1543
sensor_482,24,0.015315890236119975,1543
sensor_351,24,0.015315890236119975,1543
sensor_081,24,0.015315890236119975,1543
sensor_077,24,0.015315890236119975,1543
sensor_391,24,0.015315890236119975,1543
