sensor,missing_ratio,unique_non_missing,variance,is_zero_variance,is_all_missing
sensor_178,0.015315890236119975,1,0.0,True,False
sensor_313,0.015315890236119975,1,0.0,True,False
sensor_314,0.015315890236119975,1,0.0,True,False
sensor_449,0.015315890236119975,1,0.0,True,False
sensor_450,0.015315890236119975,1,0.0,True,False
sensor_005,0.008934269304403318,1,0.0,True,False
sensor_141,0.008934269304403318,1,0.0,True,False
sensor_276,0.008934269304403318,1,0.0,True,False
sensor_414,0.008934269304403318,1,0.0,True,False
sensor_256,0.00574345883854499,1,0.0,True,False
sensor_257,0.00574345883854499,1,0.0,True,False
sensor_258,0.00574345883854499,1,0.0,True,False
sensor_259,0.00574345883854499,1,0.0,True,False
sensor_260,0.00574345883854499,1,0.0,True,False
sensor_261,0.00574345883854499,1,0.0,True,False
sensor_262,0.00574345883854499,1,0.0,True,False
sensor_263,0.00574345883854499,1,0.0,True,False
sensor_264,0.00574345883854499,1,0.0,True,False
sensor_265,0.00574345883854499,1,0.0,True,False
sensor_266,0.00574345883854499,1,0.0,True,False
sensor_394,0.00574345883854499,1,0.0,True,False
sensor_395,0.00574345883854499,1,0.0,True,False
sensor_396,0.00574345883854499,1,0.0,True,False
sensor_397,0.00574345883854499,1,0.0,True,False
sensor_398,0.00574345883854499,1,0.0,True,False
sensor_399,0.00574345883854499,1,0.0,True,False
sensor_400,0.00574345883854499,1,0.0,True,False
sensor_401,0.00574345883854499,1,0.0,True,False
sensor_402,0.00574345883854499,1,0.0,True,False
sensor_403,0.00574345883854499,1,0.0,True,False
sensor_404,0.00574345883854499,1,0.0,True,False
sensor_528,0.00574345883854499,1,0.0,True,False
sensor_529,0.00574345883854499,1,0.0,True,False
sensor_530,0.00574345883854499,1,0.0,True,False
sensor_531,0.00574345883854499,1,0.0,True,False
sensor_532,0.00574345883854499,1,0.0,True,False
sensor_533,0.00574345883854499,1,0.0,True,False
sensor_534,0.00574345883854499,1,0.0,True,False
sensor_535,0.00574345883854499,1,0.0,True,False
sensor_536,0.00574345883854499,1,0.0,True,False
sensor_537,0.00574345883854499,1,0.0,True,False
sensor_538,0.00574345883854499,1,0.0,True,False
sensor_069,0.0038289725590299937,1,0.0,True,False
sensor_097,0.0038289725590299937,1,0.0,True,False
sensor_226,0.0038289725590299937,1,0.0,True,False
sensor_229,0.0038289725590299937,1,0.0,True,False
sensor_230,0.0038289725590299937,1,0.0,True,False
sensor_231,0.0038289725590299937,1,0.0,True,False
sensor_232,0.0038289725590299937,1,0.0,True,False
sensor_233,0.0038289725590299937,1,0.0,True,False
sensor_234,0.0038289725590299937,1,0.0,True,False
sensor_235,0.0038289725590299937,1,0.0,True,False
sensor_236,0.0038289725590299937,1,0.0,True,False
sensor_237,0.0038289725590299937,1,0.0,True,False
sensor_240,0.0038289725590299937,1,0.0,True,False
sensor_241,0.0038289725590299937,1,0.0,True,False
sensor_242,0.0038289725590299937,1,0.0,True,False
sensor_243,0.0038289725590299937,1,0.0,True,False
sensor_364,0.0038289725590299937,1,0.0,True,False
sensor_369,0.0038289725590299937,1,0.0,True,False
sensor_370,0.0038289725590299937,1,0.0,True,False
sensor_371,0.0038289725590299937,1,0.0,True,False
sensor_372,0.0038289725590299937,1,0.0,True,False
sensor_373,0.0038289725590299937,1,0.0,True,False
sensor_374,0.0038289725590299937,1,0.0,True,False
sensor_375,0.0038289725590299937,1,0.0,True,False
sensor_378,0.0038289725590299937,1,0.0,True,False
sensor_379,0.0038289725590299937,1,0.0,True,False
sensor_380,0.0038289725590299937,1,0.0,True,False
sensor_381,0.0038289725590299937,1,0.0,True,False
sensor_481,0.0038289725590299937,1,0.0,True,False
sensor_498,0.0038289725590299937,1,0.0,True,False
sensor_501,0.0038289725590299937,1,0.0,True,False
sensor_502,0.0038289725590299937,1,0.0,True,False
sensor_503,0.0038289725590299937,1,0.0,True,False
sensor_504,0.0038289725590299937,1,0.0,True,False
sensor_505,0.0038289725590299937,1,0.0,True,False
sensor_506,0.0038289725590299937,1,0.0,True,False
sensor_507,0.0038289725590299937,1,0.0,True,False
sensor_508,0.0038289725590299937,1,0.0,True,False
sensor_509,0.0038289725590299937,1,0.0,True,False
sensor_512,0.0038289725590299937,1,0.0,True,False
sensor_513,0.0038289725590299937,1,0.0,True,False
sensor_514,0.0038289725590299937,1,0.0,True,False
sensor_515,0.0038289725590299937,1,0.0,True,False
sensor_190,0.0025526483726866626,1,0.0,True,False
sensor_191,0.0025526483726866626,1,0.0,True,False
sensor_192,0.0025526483726866626,1,0.0,True,False
sensor_193,0.0025526483726866626,1,0.0,True,False
sensor_194,0.0025526483726866626,1,0.0,True,False
sensor_326,0.0025526483726866626,1,0.0,True,False
sensor_327,0.0025526483726866626,1,0.0,True,False
sensor_328,0.0025526483726866626,1,0.0,True,False
sensor_329,0.0025526483726866626,1,0.0,True,False
sensor_330,0.0025526483726866626,1,0.0,True,False
sensor_462,0.0025526483726866626,1,0.0,True,False
sensor_463,0.0025526483726866626,1,0.0,True,False
sensor_464,0.0025526483726866626,1,0.0,True,False
sensor_465,0.0025526483726866626,1,0.0,True,False
sensor_466,0.0025526483726866626,1,0.0,True,False
sensor_013,0.0019144862795149968,1,0.0,True,False
sensor_149,0.0019144862795149968,1,0.0,True,False
sensor_284,0.0019144862795149968,1,0.0,True,False
sensor_422,0.0019144862795149968,1,0.0,True,False
sensor_042,0.0006381620931716656,1,0.0,True,False
sensor_049,0.0006381620931716656,1,0.0,True,False
sensor_052,0.0006381620931716656,1,0.0,True,False
sensor_179,0.0006381620931716656,1,0.0,True,False
sensor_186,0.0006381620931716656,1,0.0,True,False
sensor_189,0.0006381620931716656,1,0.0,True,False
sensor_315,0.0006381620931716656,1,0.0,True,False
sensor_322,0.0006381620931716656,1,0.0,True,False
sensor_325,0.0006381620931716656,1,0.0,True,False
sensor_451,0.0006381620931716656,1,0.0,True,False
sensor_458,0.0006381620931716656,1,0.0,True,False
sensor_461,0.0006381620931716656,1,0.0,True,False
sensor_157,0.9119336311423102,128,0.0015632258203744842,False,False
sensor_158,0.9119336311423102,138,165525.95445651622,False,False
sensor_292,0.9119336311423102,92,0.0001321040622024754,False,False
sensor_293,0.9119336311423102,138,18959.21988262364,False,False
sensor_085,0.8557753669432036,97,8.575093805309732e-06,False,False
sensor_220,0.8557753669432036,69,3.956145722713864e-06,False,False
sensor_358,0.8557753669432036,20,1.5579410029498525e-07,False,False
sensor_492,0.8557753669432036,226,3.0950035010385446,False,False
sensor_109,0.6496490108487556,96,7.560109376038716e-05,False,False
sensor_110,0.6496490108487556,546,3.5347283260002276,False,False
sensor_111,0.6496490108487556,545,4.432363528516282,False,False
sensor_244,0.6496490108487556,66,0.0071601418224907926,False,False
sensor_245,0.6496490108487556,539,18.797550918141543,False,False
sensor_246,0.6496490108487556,547,100.90370885550442,False,False
sensor_382,0.6496490108487556,29,0.0007150255983008255,False,False
sensor_383,0.6496490108487556,525,1.7983340765992584,False,False
sensor_384,0.6496490108487556,536,10.03893210892492,False,False
sensor_516,0.6496490108487556,498,116.29206713838936,False,False
sensor_517,0.6496490108487556,543,23.918588850907625,False,False
sensor_518,0.6496490108487556,542,22.239659312418997,False,False
sensor_578,0.6056158264199106,322,0.0001376001765511164,False,False
sensor_579,0.6056158264199106,260,9.293216209553481e-05,False,False
sensor_580,0.6056158264199106,120,9.709367725658657e-06,False,False
sensor_581,0.6056158264199106,611,7659.919529835849,False,False
sensor_072,0.5067007019783025,773,338.13623906516705,False,False
sensor_073,0.5067007019783025,770,310.8128676860849,False,False
sensor_345,0.5067007019783025,767,306.70395341911615,False,False
sensor_346,0.5067007019783025,762,291.6409430608228,False,False
sensor_112,0.4562858966177409,249,0.0023950727386587442,False,False
sensor_247,0.4562858966177409,490,0.0044729609821502455,False,False
sensor_385,0.4562858966177409,232,0.00020637127979786278,False,False
sensor_519,0.4562858966177409,836,250.09587596162535,False,False
sensor_562,0.1742182514358647,873,58.225831611827324,False,False
sensor_563,0.1742182514358647,785,0.014824952454537629,False,False
sensor_564,0.1742182514358647,581,6.935760827293797,False,False
sensor_565,0.1742182514358647,753,0.006580836421564936,False,False
sensor_566,0.1742182514358647,887,1.0665956113661423,False,False
sensor_567,0.1742182514358647,619,0.0010732798612670055,False,False
sensor_568,0.1742182514358647,887,0.9932996100845772,False,False
sensor_569,0.1742182514358647,897,104.31138124241882,False,False
sensor_546,0.16592214422463306,1047,0.15137220405833354,False,False
sensor_547,0.16592214422463306,1023,25.642953934214496,False,False
sensor_548,0.16592214422463306,964,11.495648540892422,False,False
sensor_549,0.16592214422463306,1048,0.45339449725334546,False,False
sensor_550,0.16592214422463306,747,24.670631512259934,False,False
sensor_551,0.16592214422463306,213,1.8526403049429916,False,False
sensor_552,0.16592214422463306,973,0.07630336949571809,False,False
sensor_553,0.16592214422463306,1077,4.807702119436477,False,False
sensor_554,0.16592214422463306,1000,0.35862371543244004,False,False
sensor_555,0.16592214422463306,1085,1239.5717370888,False,False
sensor_556,0.16592214422463306,1070,1.638421557353267,False,False
sensor_557,0.16592214422463306,1062,3.4985212478287133,False,False
sensor_089,0.03254626675175495,650,0.002742916933440442,False,False
sensor_090,0.03254626675175495,1513,157064.51857691302,False,False
sensor_224,0.03254626675175495,720,0.005071041370359726,False,False
sensor_225,0.03254626675175495,1472,187636.3145715577,False,False
sensor_362,0.03254626675175495,389,0.0004684651270714142,False,False
sensor_363,0.03254626675175495,1516,19265.975199106724,False,False
sensor_496,0.03254626675175495,1510,606.2225123037497,False,False
sensor_497,0.03254626675175495,1509,24.568349269043164,False,False
sensor_040,0.015315890236119975,291,579.0252262368984,False,False
sensor_041,0.015315890236119975,315,5.571606134393039,False,False
sensor_075,0.015315890236119975,675,0.0004969407105601381,False,False
sensor_076,0.015315890236119975,891,0.001102457762616494,False,False
sensor_077,0.015315890236119975,842,0.0009839660465110415,False,False
sensor_078,0.015315890236119975,995,0.002291757258452675,False,False
sensor_079,0.015315890236119975,691,0.0005326701365019885,False,False
